"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat May 17 23:34:09 GMT 2025","Sat May 17 23:34:13 GMT 2025","4295","","スモークテスト","","","","Web サイトを開きログインする ",""
"passed","Sat May 17 23:34:04 GMT 2025","Sat May 17 23:34:09 GMT 2025","5077",""," 一般的なエラーのテスト ","","",""," ユーザーが存在しない URL にアクセスすると、エラーメッセージと商品一覧へのリンクが表示される ",""
